Intersection 1 Lat,Intersection 1 Lon,Intersection 2 Lat,Intersection 2 Lon,Road Name,Distance (ft)
34.0277432,-118.2810824,34.0260891,-118.2773482,West 28th Street,1280.2
34.0277432,-118.2810824,34.0266861,-118.2817844,University Avenue,440.7
34.0277432,-118.2810824,34.0271042,-118.2766951,"['University Avenue', 'West 27th Street']",1687.5
34.0289489,-118.283965,34.0287921,-118.2834459,West 28th Street,170.7
34.0289489,-118.283965,34.0293511,-118.2839647,South Hoover Street,146.7
34.0289489,-118.283965,34.028386,-118.2839685,South Hoover Street,205.4
34.029569,-118.2959172,34.0291265,-118.295917,Budlong Avenue,161.4
34.029569,-118.2959172,34.0295966,-118.2915559,West 28th Street,1318.6
34.029569,-118.2959172,34.0304793,-118.2959159,Budlong Avenue,332.1
34.0230804,-118.2938385,34.0241553,-118.2938238,South Catalina Street,392.2
34.0230804,-118.2938385,34.0228946,-118.2959452,West 36th Street,640.6
34.0230804,-118.2938385,34.0231119,-118.291561,West 36th Street,689.4
34.0230804,-118.2938385,34.0220736,-118.2938304,South Catalina Street,367.3
34.0228946,-118.2959452,34.0219465,-118.2959543,Budlong Avenue,345.9
34.0228946,-118.2959452,34.0236835,-118.2959308,Budlong Avenue,287.8
34.0228946,-118.2959452,34.0230804,-118.2938385,West 36th Street,640.6
34.0172646,-118.2749893,34.0169801,-118.2742446,West 36th Street,248.0
34.0172646,-118.2749893,34.0178587,-118.2746093,Broadway,245.3
34.0172646,-118.2749893,34.0165228,-118.2754708,Broadway,307.3
34.0236905,-118.298081,34.0245622,-118.2980834,Raymond Avenue,318.1
34.0236905,-118.298081,34.0236835,-118.2959308,West 35th Place,650.1
34.0252709,-118.2763482,34.0257995,-118.2775312,West 29th Street,406.4
34.0252709,-118.2763482,34.0245305,-118.2768228,South Flower Street,305.9
34.0236085,-118.2773694,34.0224565,-118.278095,South Flower Street,474.1
34.0236085,-118.2773694,34.0241479,-118.2785786,West 31st Street,415.2
34.0118399,-118.272842,34.0111391,-118.27284,Woodlawn Avenue,255.7
34.0111391,-118.27284,34.0118399,-118.272842,Woodlawn Avenue,255.7
34.0111391,-118.27284,34.0111326,-118.274031,East Martin Luther King Junior Boulevard,360.2
34.0181906,-118.2958637,34.0173131,-118.2958644,Budlong Avenue,320.1
34.0181906,-118.2958637,34.0181727,-118.2930944,Exposition Boulevard,837.4
34.0173131,-118.2958644,34.0181906,-118.2958637,Budlong Avenue,320.1
34.0173131,-118.2958644,34.0173135,-118.2948991,West 38th Street,291.9
34.0173131,-118.2958644,34.0164051,-118.2958752,South Budlong Avenue,331.3
34.0291265,-118.295917,34.0286532,-118.2959186,Budlong Avenue,172.7
34.0291265,-118.295917,34.029569,-118.2959172,Budlong Avenue,161.4
34.0291265,-118.295917,34.0291244,-118.2970119,West 29th Street,331.0
34.0286532,-118.2959186,34.0291265,-118.295917,Budlong Avenue,172.7
34.0286532,-118.2959186,34.0273194,-118.2959206,Budlong Avenue,486.6
34.0286532,-118.2959186,34.0286572,-118.2948204,West 29th Street,332.0
34.0219465,-118.2959543,34.0228946,-118.2959452,Budlong Avenue,345.9
34.0219465,-118.2959543,34.0220363,-118.2944101,West 36th Place,468.1
34.0219465,-118.2959543,34.0218792,-118.2977289,West 36th Place,537.3
34.0178453,-118.2731472,34.0173803,-118.2734378,South Main Street,191.0
34.0141326,-118.2915063,34.0141342,-118.2916107,West 39th Place,31.6
34.0141326,-118.2915063,34.0154604,-118.2915488,South Vermont Avenue,486.6
34.0141376,-118.2925292,34.014134,-118.29335,West 39th Place,248.2
34.0141376,-118.2925292,34.0141342,-118.2916107,West 39th Place,277.8
34.0141376,-118.2925292,34.0154921,-118.2925073,Wisconsin Street,495.7
34.0141374,-118.2947884,34.014134,-118.29335,West 39th Place,435.0
34.0141374,-118.2947884,34.0141344,-118.2959172,West 39th Place,341.3
34.0141374,-118.2947884,34.0154961,-118.2947907,Walton Avenue,495.7
34.0141344,-118.2959172,34.0141374,-118.2947884,West 39th Place,341.3
34.0141344,-118.2959172,34.0132256,-118.2959245,South Budlong Avenue,331.5
34.0141344,-118.2959172,34.0155036,-118.295897,South Budlong Avenue,500.1
34.0120911,-118.2959134,34.0132256,-118.2959245,South Budlong Avenue,413.9
34.0120911,-118.2959134,34.012091,-118.291613,Browning Boulevard,1300.4
34.0268778,-118.2937337,34.0268814,-118.2915504,West 30th Place,660.1
34.0268778,-118.2937337,34.0255051,-118.293743,South Catalina Street,500.8
34.0268778,-118.2937337,34.027173,-118.2937357,South Catalina Street,107.7
34.0181349,-118.290131,34.0154418,-118.2901351,Bill Robertson Lane,982.5
34.0181349,-118.290131,34.0183317,-118.2901341,Bill Robertson Lane,71.8
34.0181349,-118.290131,34.0181535,-118.2829919,Exposition Boulevard,2158.8
34.0181547,-118.2915533,34.0176168,-118.2915601,South Vermont Avenue,196.3
34.0181547,-118.2915533,34.0183476,-118.2915525,South Vermont Avenue,70.4
34.0181547,-118.2915533,34.0181349,-118.290131,Exposition Boulevard,430.2
34.0181727,-118.2930944,34.0173122,-118.2930905,Wisconsin Street,313.9
34.0181727,-118.2930944,34.0181547,-118.2915533,Exposition Boulevard,466.1
34.0181797,-118.2977198,34.0181906,-118.2958637,Exposition Boulevard,561.3
34.0181797,-118.2977198,34.0183642,-118.2977196,Raymond Avenue,67.3
34.0183642,-118.2977196,34.0190332,-118.2977159,Raymond Avenue,244.1
34.0183642,-118.2977196,34.0181797,-118.2977198,Raymond Avenue,67.3
34.0173803,-118.2734378,34.0178453,-118.2731472,South Main Street,191.0
34.0173803,-118.2734378,34.017092,-118.2736209,South Main Street,118.9
34.0173803,-118.2734378,34.0178587,-118.2746093,West 35th Street,394.9
34.017092,-118.2736209,34.0173803,-118.2734378,South Main Street,118.9
34.017092,-118.2736209,34.016846,-118.2737777,South Main Street,101.5
34.0140691,-118.27404,34.0148892,-118.2740424,South Main Street,299.2
34.0140691,-118.27404,34.0140478,-118.2755653,West 37th Place,461.3
34.0140691,-118.27404,34.0130873,-118.274037,South Main Street,358.2
34.028686,-118.2915568,34.0286605,-118.293735,West 29th Street,658.6
34.028686,-118.2915568,34.0283924,-118.2915603,South Vermont Avenue,107.1
34.028686,-118.2915568,34.0295966,-118.2915559,South Vermont Avenue,332.2
34.0283924,-118.2915603,34.0283937,-118.290337,West 29th Street,369.9
34.0283924,-118.2915603,34.0277678,-118.2915609,South Vermont Avenue,227.9
34.0283924,-118.2915603,34.028686,-118.2915568,South Vermont Avenue,107.1
34.0263906,-118.2915491,34.0268814,-118.2915504,South Vermont Avenue,179.1
34.0263906,-118.2915491,34.0263933,-118.2927392,31st Street,359.8
34.0263906,-118.2915491,34.02549,-118.2915534,South Vermont Avenue,328.6
34.0199617,-118.2915575,34.0199597,-118.2944316,West 37th Place,869.1
34.0199617,-118.2915575,34.0213701,-118.2915572,South Vermont Avenue,525.4
34.0199617,-118.2915575,34.019633,-118.2915621,South Vermont Avenue,119.9
34.0120913,-118.2915047,34.012091,-118.291613,Browning Boulevard,32.8
34.0120913,-118.2915047,34.0132224,-118.291509,South Vermont Avenue,412.6
34.0315751,-118.2738295,34.0321166,-118.2734905,South Figueroa Street,222.6
34.0315751,-118.2738295,34.0307527,-118.2743607,South Figueroa Street,340.4
34.0118475,-118.2872504,34.0110814,-118.2872312,South Hoover Street,279.5
34.0118475,-118.2872504,34.0137084,-118.2854562,South Coliseum Drive,939.2
34.0118475,-118.2872504,34.0118497,-118.2883833,South Park Drive,342.6
34.0291244,-118.2970119,34.0291223,-118.298095,West 29th Street,327.5
34.0291244,-118.2970119,34.0291265,-118.295917,West 29th Street,331.0
34.0291244,-118.2970119,34.0273179,-118.297002,Van Buren Place,659.1
34.0291223,-118.298095,34.0291244,-118.2970119,West 29th Street,327.5
34.0291223,-118.298095,34.0273164,-118.2980881,Raymond Avenue,658.8
34.0291223,-118.298095,34.0309171,-118.2981006,Raymond Avenue,654.8
34.0257995,-118.2775312,34.0252709,-118.2763482,West 29th Street,406.4
34.0257995,-118.2775312,34.0260891,-118.2773482,South Figueroa Street,119.3
34.0257995,-118.2775312,34.0250489,-118.2780079,South Figueroa Street,309.5
34.028393,-118.2882305,34.0283967,-118.2888526,West 29th Street,188.1
34.028393,-118.2882305,34.0283978,-118.287451,West 29th Street,235.7
34.028393,-118.2882305,34.0274328,-118.2882375,Orchard Avenue,350.3
34.0286605,-118.293735,34.0277744,-118.2937341,South Catalina Street,323.3
34.0286605,-118.293735,34.0286572,-118.2948204,West 29th Street,328.2
34.0286605,-118.293735,34.028686,-118.2915568,West 29th Street,658.6
34.0286572,-118.2948204,34.0271706,-118.294828,Walton Avenue,542.3
34.0286572,-118.2948204,34.0291023,-118.2948208,Walton Avenue,162.4
34.0286572,-118.2948204,34.0286532,-118.2959186,West 29th Street,332.0
34.0286572,-118.2948204,34.0286605,-118.293735,West 29th Street,328.2
34.0118524,-118.2901303,34.0118497,-118.2883833,South Park Drive,528.3
34.0118524,-118.2901303,34.0154418,-118.2901351,Bill Robertson Lane,1309.5
34.0326021,-118.2826186,34.0314351,-118.2833754,Toberman Street,483.3
34.0143811,-118.2854371,34.0154418,-118.2901351,Exposition Park Drive,1600.8
34.0143811,-118.2854371,34.0137084,-118.2854562,Exposition Park Drive,246.2
34.0209628,-118.292165,34.0209646,-118.2944339,West 37th Street,686.1
34.0209699,-118.2977342,34.0209646,-118.2944339,West 37th Street,997.9
34.0209699,-118.2977342,34.0199675,-118.2977281,Raymond Avenue,365.7
34.0209699,-118.2977342,34.0218792,-118.2977289,Raymond Avenue,331.7
34.0218792,-118.2977289,34.0209699,-118.2977342,Raymond Avenue,331.7
34.0218792,-118.2977289,34.0219465,-118.2959543,West 36th Place,537.3
34.0322478,-118.2733993,34.0321166,-118.2734905,South Figueroa Street,55.2
